part,set,instance,holding_multiplier,method,n_runs,best,mean,std,reference_kind,mean_gap_pct,mean_runtime_s,mean_iterations,mean_lp_rescues
sensitivity,medium,medium_k3_n80_T7_s1,100.0,greedy,1,53642.25325601507,53642.25325601507,,best known,18.731895784456643,0.0061691000009886,,
sensitivity,medium,medium_k3_n80_T7_s1,1000.0,alns,10,85282.55920769589,85979.29470596246,672.4581282806403,best known,0.8169730185626337,60.00875895999779,3930.0,
sensitivity,medium,medium_k3_n80_T7_s1,1000.0,greedy,1,175484.93784835067,175484.93784835067,,best known,105.76884591488074,0.0033919999987119,,
sensitivity,medium,medium_k3_n80_T7_s1,10000.0,alns,10,214493.11101431507,216300.194266146,1353.11749437116,best known,0.8424901122863322,60.00771173999819,4217.0,
sensitivity,medium,medium_k3_n80_T7_s1,10000.0,greedy,1,1393911.783771707,1393911.783771707,,best known,549.8631947571866,0.0029614999948535,,
small,small,small_k1_n10_T3_s1,1.0,alns,10,4584.277570630548,4584.277570630548,0.0,optimum,0.0,10.000875439999799,7609.4,
small,small,small_k1_n10_T3_s1,1.0,greedy,1,4712.369934430548,4712.369934430548,,optimum,2.794166841480781,0.000330800001393,,
small,small,small_k1_n10_T3_s1,1.0,gurobi,1,4584.277570630548,4584.277570630548,,optimum,0.0,111.61578510000254,,
small,small,small_k1_n10_T3_s1,1.0,matheuristic,10,4584.277570630548,4584.277570630548,0.0,optimum,0.0,10.00800337000037,7309.0,0.0
small,small,small_k1_n10_T3_s2,1.0,alns,10,5054.289937974795,5054.289937974795,0.0,optimum,0.0,10.001104719999422,7175.3,
small,small,small_k1_n10_T3_s2,1.0,greedy,1,5300.263279174795,5300.263279174795,,optimum,4.866625069367483,0.0003704999980982,,
small,small,small_k1_n10_T3_s2,1.0,gurobi,1,5054.289937974795,5054.289937974795,,optimum,0.0,8.0542390000046,,
small,small,small_k1_n10_T3_s2,1.0,matheuristic,10,5054.289937974795,5054.289937974795,0.0,optimum,0.0,10.00715443999943,7407.0,0.0
small,small,small_k1_n6_T3_s1,1.0,alns,10,4205.486942238973,4205.486942238973,0.0,optimum,0.0,10.000730149999436,9155.1,
small,small,small_k1_n6_T3_s1,1.0,greedy,1,4402.745120238973,4402.745120238973,,optimum,4.690495552816557,0.000268199997663,,
small,small,small_k1_n6_T3_s1,1.0,gurobi,1,4205.486942238973,4205.486942238973,,optimum,0.0,1.056337900001381,,
small,small,small_k1_n6_T3_s1,1.0,matheuristic,10,4205.486942238973,4205.486942238973,0.0,optimum,0.0,10.009188730001188,10353.0,0.0
small,small,small_k1_n6_T3_s2,1.0,alns,10,4901.820632158972,4901.820632158972,0.0,optimum,0.0,10.000966920000064,9302.6,
